skills,education,ID,Category
"Cold, Excel","WFX, State
 
Manage, Staffing Coordinator
 
Company Name, Billing
Attention, HIPAA Privacy and Security Regulations, Microsoft Word, Current
Business Development, Outlook Express, PowerPoint, State
 
Created, BUSINESS DEVELOPMENT, Professional Summary
Innovative, Health Management and Marketing",10228751,BUSINESS-DEVELOPMENT
"Associate of Arts
 
: 
Golf Management
 
, Cold Calling
Sales Force","LLC, Professional Golf Management
 
City
 
, Additional Information
MEDALS U.S. Army Good Conduct Medal U.S. Marine Corp Good Conduct Medal National Defense Service Medal U.S. Army Good
Conduct Medal U.S. Marine Corp Good Conduct Medal National Defense Service Medal GOLF, Soboba Classic Nation Wide Tour, State, Veterans Administration
Personal Information
Fair, Core Qualifications
Client, The Lane Organization, the United States Army, LPGA Pro Am Kraft Nabisco, School
 
, Mission Hills Country Club, National University
 
, State
Infantry, Current
 
Company Name, Microsoft Office, Field Radio Operator Communication, Professional Affiliations
, PGCC Professional Golfers Career College, state, Bachelors, CAR, Idaho - Caddie Services",10235211,BUSINESS-DEVELOPMENT
"The Over Achiever of the Year, Fortune 500, Outstanding or Exceeding Expectations","State
 
Financial Operations
Executive, Sales Promotions, Travel & Meeting Sales, Technology Application Sales, Human Resources, Milford High School, Achievement Guild, Bachelor of Business Administration, General Business
 
, EVP, COO, Finance Club, CMO, Current
 
Company Name
 
City
 
, Department Merchandising, Surpassed, Resident Housing Association, Human Resources & Finance, CFO, 08/1989
 
Company Name
 
City
 
, BDD, Milford Memories Planning Board, Success, BIW, DSR, Account Territory & District, Financial Operations Executive, Skills
Sales, Business Development, Travel Baseball, Huron Valley Youth Baseball",10289113,BUSINESS-DEVELOPMENT
Ph.D.,"Birst, Business Management or Sales, Mailchimp.com, â€¢ Created, Success Management and Reporting Analyst, 02/2015
 
Company Name, SDR, 05/2017
 
Company Name, State
 
Successfully, Morehead State University, Business Development
 
03/2017
 
, Coach, Professional Summary
Achievement, â€¢ Conducted, â€¢ Research, KPI, Current
 
Company Name, 03/2017
 
Company Name, Coles College of Business
 
- 
City
 
, Sales Development Representative
 
09/2017
 
, â€¢ Organized, Salesforce.com, CPR, Research, Additional Information, Skills
MS Office, State
University, MS Office Suite, State, Business Development & Success Management
 
11/2012
 
",10501991,BUSINESS-DEVELOPMENT
"Fortune 500, Excel","Human Resources, Darton State College, Communicated, Windows, Windows XP, University Recruiting, Utilizing Excel, State
 
Social Media, Budgets, Pacific Amber, Assisted Customers, Microsoft Office, Business Development, Recruiting, Recruitment, PowerPoint, Notify Human Resources, State
 
Business Development Regional, Inventory, State
 
Business Administration 
Associate of Applied Science
Skills, Spear, QuickBooks, QuickBooks POS, Problem
Solving, State",10541358,BUSINESS-DEVELOPMENT
"Core Accomplishments
Created","Legislative, Managed Service, State
 
Financial, Elections, Bachelor of Business Administration, Professional Experience
Company Name, Technical Analysis, Financial Analysis, Competitive Local Exchange, Enforcement, Software, the Georgia Athletic and Entertainment Commission, State
 
Territory, Strengthened State, Professional Licensing, State
 
Global Account, Account, Business Development
 
07/2013
 
, State Election Division
Executive, ILEC, Independent Local
Exchange Carrier, Skills
Business Development, State
 
Territory Account, Sales Executive
Tracked, State, Statewide Voter Registration",10704573,BUSINESS-DEVELOPMENT
Report,"Educated Financial Advisors, Budget, ORION, State
 
Business Development, Best Practitioner, Networks, Financial Advisors, COO, Society
 
Media, the Sales and Service Desk Specialist, Vail Resorts, Adblade, the Pacific
Northwest, Men's Varsity Ice Hockey, Society
Interests, Portfolio Managers, 10-K, Cargill, Men's Club Ice Hockey, Microsoft Excel, Alternative Investment, Financial, Investments, Jun Group, Decker, SC, Showtime Networks, Power Point, State
 
Bachelor of Arts
 
, HOBART COLLEGE
 
City
 
, CRO, the Alternative Investments Service Desk, NJ, Customer Contact Personnel, the Merrill Lynch, House, Microsoft Word, THE DELBARTON SCHOOL Morristown, New Jersey Hockey Hall of Fame, Personnel, State, State
 
New Business, Media",11088337,BUSINESS-DEVELOPMENT
"Leadership, Operational Risk
Core Accomplishments
Operations Management: Managed","State
 
Loan Officer, Wells Owned, Equity, FTE, Wells Fargo, Wells Fargo Pick, State
 
Collections Supervisor II, State
 
Business Development, Project, OCC, Wells Fargo Home Equity, Financial, Wells Fargo Financial, Government Relations and Legal, FHLMC, Call Centers, Call Center, Vendor, State
 
Customer Service, Represented Wells Fargo, VOE, USDA, Bank, Continued
Learning Education, Office, AVP, Customer Service, NY City Mayors, Foreclosure, WFHM, NY City Bar, VP, State
 
Loan Processing Supervisor, Project Management: Created, VOM, FHA, the Office of the
, State",11289482,BUSINESS-DEVELOPMENT
MBA,"URS, Financial Operations, Search Engine Optimization, Selling Techniques, Skills
Sales, Marketing, Sales And, Sales & Marketing, Chemical, DuPont, SEO, Heinkel, Sanborn, Search Engine, Marketing, Marketing Management, BASF, Thought Leadership, Asset Management, Business Development, Marketing
 
BS & MS, Coca Cola, Mech, Food & Beverage, Business Analysis, Sanborn, Sales/Application Engineer",11551946,BUSINESS-DEVELOPMENT
,"Grand Canyon University
 
City
 
, Business Development, Chart, Business Administration, Internal Operations, Recruit, USA
 
Bachelor of Science
 
: 
Exercise Science
 
Small Business, State
 
Physician Relations and Education/Marketing Liaison
Create, Arizona State University
 
City
 
, Business Development
Strategic marketingÂ 
Exceed, State",12059198,BUSINESS-DEVELOPMENT
